"Station","Year","Month","Day","Daily.Rainfall.Total..mm.","Highest.30.Min.Rainfall..mm.","Highest.60.Min.Rainfall..mm.","Highest.120.Min.Rainfall..mm.","Mean.Temperature..Â.C.","Maximum.Temperature..Â.C.","Minimum.Temperature..Â.C.","Mean.Wind.Speed..km.h.","Max.Wind.Speed..km.h.","Latitude","Longitude","Date","Season"
"Botanic Garden",2018,2,11,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-11,"Northeast Monsoon"
"Botanic Garden",2018,2,12,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-12,"Northeast Monsoon"
"Botanic Garden",2018,2,13,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-13,"Northeast Monsoon"
"Botanic Garden",2018,2,14,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-14,"Northeast Monsoon"
"Botanic Garden",2018,2,15,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-15,"Northeast Monsoon"
"Botanic Garden",2018,2,16,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-16,"Northeast Monsoon"
"Botanic Garden",2018,2,17,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-17,"Northeast Monsoon"
"Botanic Garden",2018,2,18,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-18,"Northeast Monsoon"
"Botanic Garden",2018,2,19,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-19,"Northeast Monsoon"
"Botanic Garden",2018,2,20,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-20,"Northeast Monsoon"
"Botanic Garden",2018,2,21,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-21,"Northeast Monsoon"
"Botanic Garden",2018,2,22,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-22,"Northeast Monsoon"
"Botanic Garden",2018,2,23,13.2,7.4,8,8.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-23,"Northeast Monsoon"
"Botanic Garden",2018,2,24,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-24,"Northeast Monsoon"
"Botanic Garden",2018,2,25,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-25,"Northeast Monsoon"
"Botanic Garden",2018,2,26,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-26,"Northeast Monsoon"
"Botanic Garden",2018,2,27,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-27,"Northeast Monsoon"
"Botanic Garden",2018,2,28,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-02-28,"Northeast Monsoon"
"Botanic Garden",2018,3,1,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-01,"Northeast Monsoon"
"Botanic Garden",2018,3,2,12.4,9,12,12.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-02,"Northeast Monsoon"
"Botanic Garden",2018,3,3,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-03,"Northeast Monsoon"
"Botanic Garden",2018,3,4,30.6,28.2,30.6,30.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-04,"Northeast Monsoon"
"Botanic Garden",2018,3,5,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-05,"Northeast Monsoon"
"Botanic Garden",2018,3,6,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-06,"Northeast Monsoon"
"Botanic Garden",2018,3,7,5.6,2.8,3.6,5.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-07,"Northeast Monsoon"
"Botanic Garden",2018,3,8,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-08,"Northeast Monsoon"
"Botanic Garden",2018,3,9,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-09,"Northeast Monsoon"
"Botanic Garden",2018,3,10,2.2,0.8,0.8,1,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-10,"Northeast Monsoon"
"Botanic Garden",2018,3,11,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-11,"Northeast Monsoon"
"Botanic Garden",2018,3,12,11,9.6,11,11,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-12,"Northeast Monsoon"
"Botanic Garden",2018,3,13,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-13,"Northeast Monsoon"
"Botanic Garden",2018,3,14,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-14,"Northeast Monsoon"
"Botanic Garden",2018,3,15,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-15,"Northeast Monsoon"
"Botanic Garden",2018,3,16,14.6,12.6,13.8,14.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-16,"Inter-monsoon I"
"Botanic Garden",2018,3,17,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-17,"Inter-monsoon I"
"Botanic Garden",2018,3,18,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-18,"Inter-monsoon I"
"Botanic Garden",2018,3,19,7.2,7,7.2,7.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-19,"Inter-monsoon I"
"Botanic Garden",2018,3,20,45.6,39,45,45.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-20,"Inter-monsoon I"
"Botanic Garden",2018,3,21,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-21,"Inter-monsoon I"
"Botanic Garden",2018,3,22,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-22,"Inter-monsoon I"
"Botanic Garden",2018,3,23,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-23,"Inter-monsoon I"
"Botanic Garden",2018,3,24,58.6,29,39.2,58.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-24,"Inter-monsoon I"
"Botanic Garden",2018,3,25,2,1,1,1,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-25,"Inter-monsoon I"
"Botanic Garden",2018,3,26,27,24.2,27,27,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-26,"Inter-monsoon I"
"Botanic Garden",2018,3,27,2.8,0.8,1.4,2,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-27,"Inter-monsoon I"
"Botanic Garden",2018,3,28,0.6,0.2,0.2,0.4,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-28,"Inter-monsoon I"
"Botanic Garden",2018,3,29,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-29,"Inter-monsoon I"
"Botanic Garden",2018,3,30,1.6,1,1,1.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-30,"Inter-monsoon I"
"Botanic Garden",2018,3,31,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-03-31,"Inter-monsoon I"
"Botanic Garden",2018,4,1,18.8,12.6,12.8,18,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-01,"Inter-monsoon I"
"Botanic Garden",2018,4,2,2,1.6,1.6,1.8,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-02,"Inter-monsoon I"
"Botanic Garden",2018,4,3,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-03,"Inter-monsoon I"
"Botanic Garden",2018,4,4,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-04,"Inter-monsoon I"
"Botanic Garden",2018,4,5,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-05,"Inter-monsoon I"
"Botanic Garden",2018,4,6,0,0,0,0,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-06,"Inter-monsoon I"
"Botanic Garden",2018,4,7,4.6,1.2,2.2,2.6,NA,NA,NA,NA,NA,1.3087,103.818,2018-04-07,"Inter-monsoon I"
