"Station","Year","Month","Day","Daily.Rainfall.Total..mm.","Highest.30.Min.Rainfall..mm.","Highest.60.Min.Rainfall..mm.","Highest.120.Min.Rainfall..mm.","Mean.Temperature..Â.C.","Maximum.Temperature..Â.C.","Minimum.Temperature..Â.C.","Mean.Wind.Speed..km.h.","Max.Wind.Speed..km.h.","Latitude","Longitude","Date","Season"
"Bukit Timah",2023,4,22,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-04-22,"Inter-monsoon I"
"Bukit Timah",2023,4,23,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-04-23,"Inter-monsoon I"
"Bukit Timah",2023,4,24,1.6,1.2,1.2,1.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-04-24,"Inter-monsoon I"
"Bukit Timah",2023,4,25,7.6,7.4,7.4,7.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-04-25,"Inter-monsoon I"
"Bukit Timah",2023,4,26,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-04-26,"Inter-monsoon I"
"Bukit Timah",2023,4,27,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-04-27,"Inter-monsoon I"
"Bukit Timah",2023,4,28,1.8,1.2,1.8,1.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-04-28,"Inter-monsoon I"
"Bukit Timah",2023,4,29,13.8,10.8,12,12.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-04-29,"Inter-monsoon I"
"Bukit Timah",2023,4,30,11.6,9.8,10.8,11.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-04-30,"Inter-monsoon I"
"Bukit Timah",2023,5,1,9.8,9.2,9.8,9.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-01,"Inter-monsoon I"
"Bukit Timah",2023,5,2,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-02,"Inter-monsoon I"
"Bukit Timah",2023,5,3,16.2,12.4,12.6,14.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-03,"Inter-monsoon I"
"Bukit Timah",2023,5,4,46.6,36.8,41.8,45.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-04,"Inter-monsoon I"
"Bukit Timah",2023,5,5,1.6,1.4,1.6,1.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-05,"Inter-monsoon I"
"Bukit Timah",2023,5,6,13.8,11.6,11.8,13.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-06,"Inter-monsoon I"
"Bukit Timah",2023,5,7,7.2,2.6,4.2,5.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-07,"Inter-monsoon I"
"Bukit Timah",2023,5,8,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-08,"Inter-monsoon I"
"Bukit Timah",2023,5,9,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-09,"Inter-monsoon I"
"Bukit Timah",2023,5,10,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-10,"Inter-monsoon I"
"Bukit Timah",2023,5,11,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-11,"Inter-monsoon I"
"Bukit Timah",2023,5,12,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-12,"Inter-monsoon I"
"Bukit Timah",2023,5,13,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-13,"Inter-monsoon I"
"Bukit Timah",2023,5,14,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-14,"Inter-monsoon I"
"Bukit Timah",2023,5,15,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-15,"Inter-monsoon I"
"Bukit Timah",2023,5,16,6.6,5,6.6,6.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-16,"Inter-monsoon I"
"Bukit Timah",2023,5,17,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-17,"Inter-monsoon I"
"Bukit Timah",2023,5,18,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-18,"Inter-monsoon I"
"Bukit Timah",2023,5,19,9.8,9.2,9.4,9.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-19,"Inter-monsoon I"
"Bukit Timah",2023,5,20,0.8,0.8,0.8,0.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-20,"Inter-monsoon I"
"Bukit Timah",2023,5,21,22.4,15.4,19.6,19.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-21,"Inter-monsoon I"
"Bukit Timah",2023,5,22,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-22,"Inter-monsoon I"
"Bukit Timah",2023,5,23,24.2,21,22,22.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-23,"Inter-monsoon I"
"Bukit Timah",2023,5,24,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-24,"Inter-monsoon I"
"Bukit Timah",2023,5,25,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-25,"Inter-monsoon I"
"Bukit Timah",2023,5,26,10.4,8.2,8.4,8.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-26,"Inter-monsoon I"
"Bukit Timah",2023,5,27,1.6,1.6,1.6,1.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-27,"Inter-monsoon I"
"Bukit Timah",2023,5,28,3.2,3,3.2,3.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-28,"Inter-monsoon I"
"Bukit Timah",2023,5,29,6.2,5.4,5.4,5.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-29,"Inter-monsoon I"
"Bukit Timah",2023,5,30,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-30,"Inter-monsoon I"
"Bukit Timah",2023,5,31,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-05-31,"Inter-monsoon I"
"Bukit Timah",2023,6,1,22.8,9.4,13.8,17,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-01,"Southwest Monsoon"
"Bukit Timah",2023,6,2,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-02,"Southwest Monsoon"
"Bukit Timah",2023,6,3,7.6,7.4,7.6,7.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-03,"Southwest Monsoon"
"Bukit Timah",2023,6,4,59.4,39.2,54,57,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-04,"Southwest Monsoon"
"Bukit Timah",2023,6,5,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-05,"Southwest Monsoon"
"Bukit Timah",2023,6,6,1.4,0.8,0.8,0.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-06,"Southwest Monsoon"
"Bukit Timah",2023,6,7,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-07,"Southwest Monsoon"
"Bukit Timah",2023,6,8,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-08,"Southwest Monsoon"
"Bukit Timah",2023,6,9,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-09,"Southwest Monsoon"
"Bukit Timah",2023,6,10,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-10,"Southwest Monsoon"
"Bukit Timah",2023,6,11,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-11,"Southwest Monsoon"
"Bukit Timah",2023,6,12,27.4,11.8,15.2,19.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-12,"Southwest Monsoon"
"Bukit Timah",2023,6,13,0.6,0.4,0.4,0.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-13,"Southwest Monsoon"
"Bukit Timah",2023,6,14,2.2,2,2,2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-14,"Southwest Monsoon"
"Bukit Timah",2023,6,15,0.8,0.8,0.8,0.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-15,"Southwest Monsoon"
"Bukit Timah",2023,6,16,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-16,"Southwest Monsoon"
"Bukit Timah",2023,6,17,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-17,"Southwest Monsoon"
"Bukit Timah",2023,6,18,37,16.4,18.4,21.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-18,"Southwest Monsoon"
"Bukit Timah",2023,6,19,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-19,"Southwest Monsoon"
"Bukit Timah",2023,6,20,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-20,"Southwest Monsoon"
"Bukit Timah",2023,6,21,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-21,"Southwest Monsoon"
"Bukit Timah",2023,6,22,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-22,"Southwest Monsoon"
"Bukit Timah",2023,6,23,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-23,"Southwest Monsoon"
"Bukit Timah",2023,6,24,11.6,11.4,11.6,11.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-24,"Southwest Monsoon"
"Bukit Timah",2023,6,25,3.6,3.2,3.4,3.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-25,"Southwest Monsoon"
"Bukit Timah",2023,6,26,1.2,1,1.2,1.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-26,"Southwest Monsoon"
"Bukit Timah",2023,6,27,66.8,37.8,40,40.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-27,"Southwest Monsoon"
"Bukit Timah",2023,6,28,31.6,17.2,26.6,26.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-28,"Southwest Monsoon"
"Bukit Timah",2023,6,29,12,11.2,11.8,12,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-29,"Southwest Monsoon"
"Bukit Timah",2023,6,30,22,14,17.4,19.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-06-30,"Southwest Monsoon"
"Bukit Timah",2023,7,1,1.4,0.8,1.2,1.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-01,"Southwest Monsoon"
"Bukit Timah",2023,7,2,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-02,"Southwest Monsoon"
"Bukit Timah",2023,7,3,17,13.4,16,16.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-03,"Southwest Monsoon"
"Bukit Timah",2023,7,4,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-04,"Southwest Monsoon"
"Bukit Timah",2023,7,5,19,16,16.6,19,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-05,"Southwest Monsoon"
"Bukit Timah",2023,7,6,0.4,0.2,0.4,0.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-06,"Southwest Monsoon"
"Bukit Timah",2023,7,7,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-07,"Southwest Monsoon"
"Bukit Timah",2023,7,8,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-08,"Southwest Monsoon"
"Bukit Timah",2023,7,9,9.8,4.4,7.6,7.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-09,"Southwest Monsoon"
"Bukit Timah",2023,7,10,4.2,4.2,4.2,4.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-10,"Southwest Monsoon"
"Bukit Timah",2023,7,11,20.6,5.4,8.2,8.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-11,"Southwest Monsoon"
"Bukit Timah",2023,7,12,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-12,"Southwest Monsoon"
"Bukit Timah",2023,7,13,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-13,"Southwest Monsoon"
"Bukit Timah",2023,7,14,55.2,16.8,20.8,26.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-14,"Southwest Monsoon"
"Bukit Timah",2023,7,15,0.4,0.2,0.4,0.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-15,"Southwest Monsoon"
"Bukit Timah",2023,7,16,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-16,"Southwest Monsoon"
"Bukit Timah",2023,7,17,5.6,5,5,5,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-17,"Southwest Monsoon"
"Bukit Timah",2023,7,18,36,21,25.4,35.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-18,"Southwest Monsoon"
"Bukit Timah",2023,7,19,32.6,21.2,24.4,25.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-19,"Southwest Monsoon"
"Bukit Timah",2023,7,20,98.8,53.4,57.4,60.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-20,"Southwest Monsoon"
"Bukit Timah",2023,7,21,0,0,0,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-21,"Southwest Monsoon"
"Bukit Timah",2023,7,22,3.6,3.6,3.6,3.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-22,"Southwest Monsoon"
"Bukit Timah",2023,7,23,13,13,13,13,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-23,"Southwest Monsoon"
"Bukit Timah",2023,7,24,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-24,"Southwest Monsoon"
"Bukit Timah",2023,7,25,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-25,"Southwest Monsoon"
"Bukit Timah",2023,7,26,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-26,"Southwest Monsoon"
"Bukit Timah",2023,7,27,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-27,"Southwest Monsoon"
"Bukit Timah",2023,7,28,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-28,"Southwest Monsoon"
"Bukit Timah",2023,7,29,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-29,"Southwest Monsoon"
"Bukit Timah",2023,7,30,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-30,"Southwest Monsoon"
"Bukit Timah",2023,7,31,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-07-31,"Southwest Monsoon"
"Bukit Timah",2023,8,1,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-01,"Southwest Monsoon"
"Bukit Timah",2023,8,2,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-02,"Southwest Monsoon"
"Bukit Timah",2023,8,3,16,11.6,12.6,13,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-03,"Southwest Monsoon"
"Bukit Timah",2023,8,4,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-04,"Southwest Monsoon"
"Bukit Timah",2023,8,5,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-05,"Southwest Monsoon"
"Bukit Timah",2023,8,6,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-06,"Southwest Monsoon"
"Bukit Timah",2023,8,7,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-07,"Southwest Monsoon"
"Bukit Timah",2023,8,8,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-08,"Southwest Monsoon"
"Bukit Timah",2023,8,9,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-09,"Southwest Monsoon"
"Bukit Timah",2023,8,10,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-10,"Southwest Monsoon"
"Bukit Timah",2023,8,11,2.6,2.6,2.6,2.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-11,"Southwest Monsoon"
"Bukit Timah",2023,8,12,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-12,"Southwest Monsoon"
"Bukit Timah",2023,8,13,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-13,"Southwest Monsoon"
"Bukit Timah",2023,8,14,9.2,4.2,6.8,7.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-14,"Southwest Monsoon"
"Bukit Timah",2023,8,15,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-15,"Southwest Monsoon"
"Bukit Timah",2023,8,16,6.6,4,4.6,4.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-16,"Southwest Monsoon"
"Bukit Timah",2023,8,17,12.2,10.2,11.8,12,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-17,"Southwest Monsoon"
"Bukit Timah",2023,8,18,9.4,6,6.8,8.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-18,"Southwest Monsoon"
"Bukit Timah",2023,8,19,3,2.8,2.8,2.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-19,"Southwest Monsoon"
"Bukit Timah",2023,8,20,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-20,"Southwest Monsoon"
"Bukit Timah",2023,8,21,14,5,5.2,7.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-21,"Southwest Monsoon"
"Bukit Timah",2023,8,22,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-22,"Southwest Monsoon"
"Bukit Timah",2023,8,23,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-23,"Southwest Monsoon"
"Bukit Timah",2023,8,24,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-24,"Southwest Monsoon"
"Bukit Timah",2023,8,25,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-25,"Southwest Monsoon"
"Bukit Timah",2023,8,26,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-26,"Southwest Monsoon"
"Bukit Timah",2023,8,27,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-27,"Southwest Monsoon"
"Bukit Timah",2023,8,28,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-28,"Southwest Monsoon"
"Bukit Timah",2023,8,29,2,1.8,2,2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-29,"Southwest Monsoon"
"Bukit Timah",2023,8,30,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-30,"Southwest Monsoon"
"Bukit Timah",2023,8,31,1.2,1.2,1.2,1.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-08-31,"Southwest Monsoon"
"Bukit Timah",2023,9,1,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-01,"Southwest Monsoon"
"Bukit Timah",2023,9,2,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-02,"Southwest Monsoon"
"Bukit Timah",2023,9,3,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-03,"Southwest Monsoon"
"Bukit Timah",2023,9,4,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-04,"Southwest Monsoon"
"Bukit Timah",2023,9,5,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-05,"Southwest Monsoon"
"Bukit Timah",2023,9,6,43.4,13.8,20.6,35.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-06,"Southwest Monsoon"
"Bukit Timah",2023,9,7,0.2,0.2,0.2,0.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-07,"Southwest Monsoon"
"Bukit Timah",2023,9,8,1,0.6,1,1,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-08,"Southwest Monsoon"
"Bukit Timah",2023,9,9,42.8,20.6,28.6,39.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-09,"Southwest Monsoon"
"Bukit Timah",2023,9,10,0.6,0.4,0.4,0.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-10,"Southwest Monsoon"
"Bukit Timah",2023,9,11,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-11,"Southwest Monsoon"
"Bukit Timah",2023,9,12,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-12,"Southwest Monsoon"
"Bukit Timah",2023,9,13,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-13,"Southwest Monsoon"
"Bukit Timah",2023,9,14,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-14,"Southwest Monsoon"
"Bukit Timah",2023,9,15,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-15,"Southwest Monsoon"
"Bukit Timah",2023,9,16,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-16,"Southwest Monsoon"
"Bukit Timah",2023,9,17,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-17,"Southwest Monsoon"
"Bukit Timah",2023,9,18,0.4,0.4,0.4,0.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-18,"Southwest Monsoon"
"Bukit Timah",2023,9,19,15.4,14.6,15.2,15.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-19,"Southwest Monsoon"
"Bukit Timah",2023,9,20,38.6,31,35.2,38.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-20,"Southwest Monsoon"
"Bukit Timah",2023,9,21,9.6,7.4,8,8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-21,"Southwest Monsoon"
"Bukit Timah",2023,9,22,1.2,0.6,0.8,0.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-22,"Southwest Monsoon"
"Bukit Timah",2023,9,23,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-23,"Southwest Monsoon"
"Bukit Timah",2023,9,24,34.2,18.6,22.4,23.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-24,"Southwest Monsoon"
"Bukit Timah",2023,9,25,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-25,"Southwest Monsoon"
"Bukit Timah",2023,9,26,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-26,"Southwest Monsoon"
"Bukit Timah",2023,9,27,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-27,"Southwest Monsoon"
"Bukit Timah",2023,9,28,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-28,"Southwest Monsoon"
"Bukit Timah",2023,9,29,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-29,"Southwest Monsoon"
"Bukit Timah",2023,9,30,2.6,2.4,2.4,2.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-09-30,"Southwest Monsoon"
"Bukit Timah",2023,10,1,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-01,"Inter-monsoon II"
"Bukit Timah",2023,10,2,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-02,"Inter-monsoon II"
"Bukit Timah",2023,10,3,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-03,"Inter-monsoon II"
"Bukit Timah",2023,10,4,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-04,"Inter-monsoon II"
"Bukit Timah",2023,10,5,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-05,"Inter-monsoon II"
"Bukit Timah",2023,10,6,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-06,"Inter-monsoon II"
"Bukit Timah",2023,10,7,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-07,"Inter-monsoon II"
"Bukit Timah",2023,10,8,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-08,"Inter-monsoon II"
"Bukit Timah",2023,10,9,41.2,19.8,22,22,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-09,"Inter-monsoon II"
"Bukit Timah",2023,10,10,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-10,"Inter-monsoon II"
"Bukit Timah",2023,10,11,8,7.8,8,8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-11,"Inter-monsoon II"
"Bukit Timah",2023,10,12,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-12,"Inter-monsoon II"
"Bukit Timah",2023,10,13,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-13,"Inter-monsoon II"
"Bukit Timah",2023,10,14,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-14,"Inter-monsoon II"
"Bukit Timah",2023,10,15,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-15,"Inter-monsoon II"
"Bukit Timah",2023,10,16,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-16,"Inter-monsoon II"
"Bukit Timah",2023,10,17,0,0,0,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-17,"Inter-monsoon II"
"Bukit Timah",2023,10,18,16.2,9.8,10.2,14,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-18,"Inter-monsoon II"
"Bukit Timah",2023,10,19,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-19,"Inter-monsoon II"
"Bukit Timah",2023,10,20,15.6,6.8,6.8,11.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-20,"Inter-monsoon II"
"Bukit Timah",2023,10,21,9.2,9.2,9.2,9.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-21,"Inter-monsoon II"
"Bukit Timah",2023,10,22,23.2,23,23.2,23.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-22,"Inter-monsoon II"
"Bukit Timah",2023,10,23,6,4.6,4.6,4.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-23,"Inter-monsoon II"
"Bukit Timah",2023,10,24,6.6,5.8,6,6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-24,"Inter-monsoon II"
"Bukit Timah",2023,10,25,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-25,"Inter-monsoon II"
"Bukit Timah",2023,10,26,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-26,"Inter-monsoon II"
"Bukit Timah",2023,10,27,0,0,0,0,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-27,"Inter-monsoon II"
"Bukit Timah",2023,10,28,0.2,0.2,0.2,0.2,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-28,"Inter-monsoon II"
"Bukit Timah",2023,10,29,0.6,0.6,0.6,0.6,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-29,"Inter-monsoon II"
"Bukit Timah",2023,10,30,1.4,1.4,1.4,1.4,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-30,"Inter-monsoon II"
"Bukit Timah",2023,10,31,25.4,18.4,19.6,22.8,NA,NA,NA,NA,NA,1.3191,103.8193,2023-10-31,"Inter-monsoon II"
