Station,Year,Month,Day,Daily.Rainfall.Total..mm.,Latitude,Longitude,Date,Season
Botanic Garden,2018,3,13,0,1.3087,103.818,2018/3/13,Northeast Monsoon
Botanic Garden,2018,3,14,0,1.3087,103.818,2018/3/14,Northeast Monsoon
Botanic Garden,2018,3,15,0,1.3087,103.818,2018/3/15,Northeast Monsoon
Botanic Garden,2018,3,16,14.6,1.3087,103.818,2018/3/16,Inter-monsoon I
Botanic Garden,2018,3,17,0,1.3087,103.818,2018/3/17,Inter-monsoon I
Botanic Garden,2018,3,18,0,1.3087,103.818,2018/3/18,Inter-monsoon I
Botanic Garden,2018,3,19,7.2,1.3087,103.818,2018/3/19,Inter-monsoon I
Botanic Garden,2018,3,20,45.6,1.3087,103.818,2018/3/20,Inter-monsoon I
Botanic Garden,2018,3,21,0.2,1.3087,103.818,2018/3/21,Inter-monsoon I
Botanic Garden,2018,3,22,0,1.3087,103.818,2018/3/22,Inter-monsoon I
Botanic Garden,2018,3,23,0,1.3087,103.818,2018/3/23,Inter-monsoon I
Botanic Garden,2018,3,24,58.6,1.3087,103.818,2018/3/24,Inter-monsoon I
Botanic Garden,2018,3,25,2,1.3087,103.818,2018/3/25,Inter-monsoon I
Botanic Garden,2018,3,26,27,1.3087,103.818,2018/3/26,Inter-monsoon I
Botanic Garden,2018,3,27,2.8,1.3087,103.818,2018/3/27,Inter-monsoon I
Botanic Garden,2018,3,28,0.6,1.3087,103.818,2018/3/28,Inter-monsoon I
Botanic Garden,2018,3,29,0,1.3087,103.818,2018/3/29,Inter-monsoon I
Botanic Garden,2018,3,30,1.6,1.3087,103.818,2018/3/30,Inter-monsoon I
Botanic Garden,2018,3,31,0,1.3087,103.818,2018/3/31,Inter-monsoon I
Botanic Garden,2018,4,1,18.8,1.3087,103.818,2018/4/1,Inter-monsoon I
Botanic Garden,2018,4,2,2,1.3087,103.818,2018/4/2,Inter-monsoon I
Botanic Garden,2018,4,3,0,1.3087,103.818,2018/4/3,Inter-monsoon I
Botanic Garden,2018,4,4,0,1.3087,103.818,2018/4/4,Inter-monsoon I
Botanic Garden,2018,4,5,0,1.3087,103.818,2018/4/5,Inter-monsoon I
Botanic Garden,2018,4,6,0,1.3087,103.818,2018/4/6,Inter-monsoon I
Botanic Garden,2018,4,7,4.6,1.3087,103.818,2018/4/7,Inter-monsoon I
Botanic Garden,2018,4,8,0,1.3087,103.818,2018/4/8,Inter-monsoon I
Botanic Garden,2018,4,9,0,1.3087,103.818,2018/4/9,Inter-monsoon I
Botanic Garden,2018,4,10,0,1.3087,103.818,2018/4/10,Inter-monsoon I
Botanic Garden,2018,4,11,0,1.3087,103.818,2018/4/11,Inter-monsoon I
Botanic Garden,2018,4,12,0,1.3087,103.818,2018/4/12,Inter-monsoon I
Botanic Garden,2018,4,13,0,1.3087,103.818,2018/4/13,Inter-monsoon I
Botanic Garden,2018,4,14,29.6,1.3087,103.818,2018/4/14,Inter-monsoon I
Botanic Garden,2018,4,15,18.2,1.3087,103.818,2018/4/15,Inter-monsoon I
Botanic Garden,2018,4,16,0.8,1.3087,103.818,2018/4/16,Inter-monsoon I
Botanic Garden,2018,4,17,0.8,1.3087,103.818,2018/4/17,Inter-monsoon I
Botanic Garden,2018,4,18,0,1.3087,103.818,2018/4/18,Inter-monsoon I
Botanic Garden,2018,4,19,30.8,1.3087,103.818,2018/4/19,Inter-monsoon I
Botanic Garden,2018,4,20,30.4,1.3087,103.818,2018/4/20,Inter-monsoon I
Botanic Garden,2018,4,21,0.8,1.3087,103.818,2018/4/21,Inter-monsoon I
Botanic Garden,2018,4,22,9.6,1.3087,103.818,2018/4/22,Inter-monsoon I
Botanic Garden,2018,4,23,42.4,1.3087,103.818,2018/4/23,Inter-monsoon I
Botanic Garden,2018,4,24,15.6,1.3087,103.818,2018/4/24,Inter-monsoon I
Botanic Garden,2018,4,25,0,1.3087,103.818,2018/4/25,Inter-monsoon I
Botanic Garden,2018,4,26,2.8,1.3087,103.818,2018/4/26,Inter-monsoon I
Botanic Garden,2018,4,27,21.4,1.3087,103.818,2018/4/27,Inter-monsoon I
Botanic Garden,2018,4,28,0,1.3087,103.818,2018/4/28,Inter-monsoon I
Botanic Garden,2018,4,29,0,1.3087,103.818,2018/4/29,Inter-monsoon I
Botanic Garden,2018,4,30,0,1.3087,103.818,2018/4/30,Inter-monsoon I
Botanic Garden,2018,5,1,16.6,1.3087,103.818,2018/5/1,Inter-monsoon I
Botanic Garden,2018,5,2,3.6,1.3087,103.818,2018/5/2,Inter-monsoon I
Botanic Garden,2018,5,3,10.4,1.3087,103.818,2018/5/3,Inter-monsoon I
Botanic Garden,2018,5,4,0,1.3087,103.818,2018/5/4,Inter-monsoon I
Botanic Garden,2018,5,5,0,1.3087,103.818,2018/5/5,Inter-monsoon I
Botanic Garden,2018,5,6,0,1.3087,103.818,2018/5/6,Inter-monsoon I
Botanic Garden,2018,5,7,0,1.3087,103.818,2018/5/7,Inter-monsoon I
Botanic Garden,2018,5,8,0,1.3087,103.818,2018/5/8,Inter-monsoon I
Botanic Garden,2018,5,9,0,1.3087,103.818,2018/5/9,Inter-monsoon I
Botanic Garden,2018,5,10,0,1.3087,103.818,2018/5/10,Inter-monsoon I
Botanic Garden,2018,5,11,0.2,1.3087,103.818,2018/5/11,Inter-monsoon I
Botanic Garden,2018,5,12,0,1.3087,103.818,2018/5/12,Inter-monsoon I
Botanic Garden,2018,5,13,1.6,1.3087,103.818,2018/5/13,Inter-monsoon I
Botanic Garden,2018,5,14,12,1.3087,103.818,2018/5/14,Inter-monsoon I
Botanic Garden,2018,5,15,5.8,1.3087,103.818,2018/5/15,Inter-monsoon I
